keys,en,ja,fr,de,es,it,ko,zh_HK,zh
217,Ursaring,リングマ,Ursaring,Ursaring,Ursaring,Ursaring,링곰,圈圈熊,圈圈熊
218,Slugma,マグマッグ,Limagma,Schneckmag,Slugma,Slugma,마그마그,熔岩蟲,熔岩虫
219,Magcargo,マグカルゴ,Volcaropod,Magcargo,Magcargo,Magcargo,마그카르고,熔岩蝸牛,熔岩蜗牛
220,Swinub,ウリムー,Marcacrin,Quiekel,Swinub,Swinub,꾸꾸리,小山豬,小山猪
221,Piloswine,イノムー,Cochignon,Keifel,Piloswine,Piloswine,메꾸리,長毛豬,长毛猪
222,Corsola,サニーゴ,Corayon,Corasonn,Corsola,Corsola,코산호,太陽珊瑚,太阳珊瑚
223,Remoraid,テッポウオ,Rémoraid,Remoraid,Remoraid,Remoraid,총어,鐵炮魚,铁炮鱼
224,Octillery,オクタン,Octillery,Octillery,Octillery,Octillery,대포무노,章魚桶,章鱼桶
225,Delibird,デリバード,Cadoizo,Botogel,Delibird,Delibird,딜리버드,信使鳥,信使鸟
226,Mantine,マンタイン,Démanta,mantax,Mantine,Mantine,만타인,巨翅飛魚,巨翅飞鱼
227,Skarmory,エアームド,Airmure,Panzaeron,Skarmory,Skarmory,무장조,盔甲鳥,盔甲鸟
228,Houndoor,デルビル,Malosse,Hunduster,Houndoor,Houndoor,델빌,戴魯比,戴鲁比
229,Houndoom,ヘルガー,Démolosse,Hundemon,Houndoom,Houndoom,헬가,黑魯加,黑鲁加
230,Kingdra,キングドラ,Hyporoi,Seedraking,Kingdra,Kingdra,킹드라,刺龍王,刺龙王
231,Phanpy,ゴマゾウ,Phanpy,Phanpy,Phanpy,Phanpy,코코리,小小象,小小象
232,Donphan,ドンファン,Donphan,Donphan,Donphan,Donphan,코리갑,頓甲,顿甲
233,Porygon2,ポリゴン２,Porygon2,Porygon2,Porygon2,Porygon2,폴리곤２,多邊獸Ⅱ,多边兽２型
234,Stantler,オドシシ,Cerfrousse,Damhirplex,Stantler,Stantler,노라키,驚角鹿,惊角鹿
235,Smeargle,ドーブル,Queulorior,Farbeagle,Smeargle,Smeargle,루브도,圖圖犬,图图犬
236,Tyrogue,バルキー,Debugant,Rabauz,Tyrogue,Tyrogue,배루키,無畏小子,无畏小子
237,Hitmontop,カポエラー,Kapoera,Kapoera,Hitmontop,Hitmontop,카포에라,戰舞郎,战舞郎
238,Smoochum,ムチュール,Lippouti,Kussilla,Smoochum,Smoochum,뽀뽀라,迷唇娃,迷唇娃
239,Elekid,エレキッド,Élékid,Elekid,Elekid,Elekid,에레키드,電擊怪,电击怪
240,Magby,ブビィ,Magby,Magby,Magby,Magby,마그비,鴨嘴寶寶,鸭嘴宝宝
241,Miltank,ミルタンク,Écrémeuh,Miltank,Miltank,Miltank,밀탱크,大奶罐,大奶罐
242,Blissey,ハピナス,Leuphorie,Heiteira,Blissey,Blissey,해피너스,幸福蛋,幸福蛋
243,Raikou,ライコウ,Raikou,Raikou,Raikou,Raikou,라이코,雷公,雷公
244,Entei,エンテイ,Entei,Entei,Entei,Entei,앤테이,炎帝,炎帝
245,Suicune,スイクン,Suicune,Suicune,Suicune,Suicune,앤테이,水君,水君
246,Larvitar,ヨーギラス,Embrylex,Larvitar,Larvitar,Larvitar,애버라스,幼基拉斯,幼基拉斯
247,Pupitar,サナギラス,Ymphect,Pupitar,Pupitar,Pupitar,데기라스,沙基拉斯,沙基拉斯
248,Tyranitar,バンギラス,Tyranocif,Despotar,Tyranitar,Tyranitar,마기라스,班基拉斯,班基拉斯
249,Lugia,ルギア,Lugia,Lugia,Lugia,Lugia,루기아,洛奇亞,洛奇亚
250,Ho-Oh,ホウオウ,Ho-Oh,Ho-Oh,Ho-Oh,Ho-Oh,칠색조,鳳王,凤王
251,Celebi,セリビィ,Celebi,Celebi,Celebi,Celebi,세레비,時拉比,时拉比
252,Treecko,キモリ,Arcko,Geckabor,Treecko,Treecko,나무지기,木守宮,木守宫
253,Grovyle,ジュプトル,Massko,Reptain,Grovyle,Grovyle,나무돌이,森林蜥蜴,森林蜥蜴
254,Sceptile,ジュカイン,Jungko,Gewaldro,Sceptile,Sceptile,나무킹,蜥蜴王,蜥蜴王
255,Torchic,アチャモ,Poussifeu,Flemmli,Torchic,Torchic,아차모,火稚雞,火稚鸡
256,Combusken,ワカシャモ,Galifeu,Jungglut,Combusken,Combusken,영치코,力壯雞,力壮鸡
257,Blaziken,バシャーモ,Braségali,Lohgock,Blaziken,Blaziken,번치코,火焰雞,火焰鸡
258,Mudkip,ミズゴロウ,Gobou,Hydropi,Mudkip,Mudkip,물짱이,水躍魚,水跃鱼
259,Marshtomp,ヌマクロー,Flobio,Moorabble,Marshtomp,Marshtomp,늪짱이,沼躍魚,沼跃鱼
260,Swampert,ラグラージ,Laggron,Sumpex,Swampert,Swampert,대짱이,巨沼怪,巨沼怪
261,Poochyena,ポチエナ,Medhyèna,Fiffyen,Poochyena,Poochyena,포챠나,土狼犬,土狼犬
262,Mightyena,グラエナ,Grahyèna,Magnayen,Mightyena,Mightyena,그라에나,大狼犬,大狼犬
263,Zigzagoon,ジグザグマ,Zigzaton,Zigzachs,Zigzagoon,Zigzagoon,지그제구리,蛇紋熊,蛇纹熊
264,Linoone,マッスグマ,Linéon,Geradaks,Linoone,Linoone,직구리,直衝熊,直冲熊
265,Wurmple,ケムッソ,Chenipotte,Waumpel,Wurmple,Wurmple,개무소,刺尾蟲,刺尾虫
266,Silcoon,カラサリス,Armulys,Schaloko,Silcoon,Silcoon,실쿤,甲殼繭,甲壳茧
267,Beautifly,アゲハント,Charmillon,Papinella,Beautifly,Beautifly,뷰티플라이,狩獵鳳蝶,狩猎凤蝶
268,Cascoon,マユルド,Blindalys,Panekon,Cascoon,Cascoon,카스쿤,盾甲繭,盾甲茧
269,Dustox,ドクケイル,Papinox,Pudox,Dustox,Dustox,독케일,毒粉蛾,毒粉蛾
270,Lotad,ハスボー,Nénupiot,Loturzel,Lotad,Lotad,연꽃몬,蓮葉童子,莲叶童子
271,Lombre,ハスブレロ,Lombre,Lombrero,Lombre,Lombre,로토스,蓮帽小童,莲帽小童
272,Ludicolo,ルンパッパ,Ludicolo,Kappalores,Ludicolo,Ludicolo,로파파,樂天河童,乐天河童
273,Seedot,タネボー,Grainipiot,Samurzel,Seedot,Seedot,도토링,橡實果,橡实果
274,Nuzleaf,コノハナ,Pifeuil,Blanas,Nuzleaf,Nuzleaf,잎새코,長鼻葉,长鼻叶
275,Shiftry,ダーテング,Tengalice,Tengulist,Shiftry,Shiftry,다탱구,狡猾天狗,狡猾天狗
276,Tailow,スバメ,Nirondelle,Schwalbini,Tailow,Tailow,테일로,傲骨燕,傲骨燕
277,Swellow,オオスバメ,Hélédelle,Schwalboss,Swellow,Swellow,스왈로,大王燕,大王燕
278,Wingull,キャモメ,Goélise,Wingull,Wingull,Wingull,갈모매,長翅鷗,长翅鸥
279,Pelipper,ペリッパー,Bekipan,Pelipper,Pelipper,Pelipper,패리퍼,大嘴鷗,大嘴鸥
280,Ralts,ラルトス,Tarsal,Trasla,Ralts,Ralts,랄토스,拉魯拉絲,拉鲁拉丝
281,Kirlia,キルリア,Kirlia,Kirlia,Kirlia,Kirlia,킬리아,奇魯莉安,奇鲁莉安
282,Gardevoir,サーナイト,Gardevoir,Guardevoir,Gardevoir,Gardevoir,가디안,沙奈朵,沙奈朵
283,Surskit,アメタマ,Arakdo,Gehweiher,Surskit,Surskit,비구술,溜溜糖球,溜溜糖球
284,Masquerain,アメモース,Maskadra,Maskeregen,Masquerain,Masquerain,비나방,雨翅蛾,雨翅蛾
285,Shroomish,キノココ,Balignon,Knilz,Shroomish,Shroomish,버섯꼬,蘑蘑菇,蘑蘑菇
286,Breloom,キノガッサ,Chapignon,Kapilz,Breloom,Breloom,버섯모,斗笠菇,斗笠菇
287,Slakoth,ナマケロ,Parecool,Bummelz,Slakoth,Slakoth,게을로,懶人獺,懒人獭
288,Vigoroth,ヤルキモノ,Vigoroth,Muntier,Vigoroth,Vigoroth,발바로,過動猿,过动猿
289,Slaking,ケッキング,Monaflèmit,Letarking,Slaking,Slaking,게을킹,請假王,请假王
290,Nincada,ツチニン,Ningale,Nincada,Nincada,Nincada,토중몬,土居忍士,土居忍士
291,Ninjask,テッカニン,Ninjask,Ninjask,Ninjask,Ninjask,아이스크,鐵面忍者,铁面忍者
292,Shedinja,ヌケニン,Munja,Ninjatom,Shedinja,Shedinja,껍질몬,脫殼忍者,脱壳忍者
293,Whismur,ゴニョニョ,Chuchmur,Flurmel,Whismur,Whismur,소곤룡,咕妞妞,咕妞妞
294,Loudred,ドゴーム,Ramboum,Krakeelo,Loudred,Loudred,노공룡,吼爆彈,吼爆弹
295,Exploud,バクオング,Brouhabam,Krawumms,Exploud,Exploud,폭음룡,爆音怪,爆音怪
296,Makuhita,マクノシタ,Makuhita,Makuhita,Makuhita,Makuhita,마크탕,幕下力士,幕下力士
297,Hariyama,ハリテヤマ,Hariyama,Hariyama,Hariyama,Hariyama,하리뭉,鐵掌力士,铁掌力士
298,Azurill,ルリリ,Azurill,Azurill,Azurill,Azurill,루리리,露力麗,露力丽
299,Nosepass,ノズパス,Tarinor,Nasgnet,Nosepass,Nosepass,코코파스,朝北鼻,朝北鼻
300,Skitty,エネコ,Skitty,Eneco,Skitty,Skitty,에나비,向尾喵,向尾喵
301,Delcatty,エネコロロ,Delcatty,Enekoro,Delcatty,Delcatty,델케티,優雅貓,优雅猫
302,Sableye,ヤミラミ,Ténéfix,Zobiris,Sableye,Sableye,깜까미,勾魂眼,勾魂眼
303,Mawile,クチート,Mysdibule,Flunkifer,Mawile,Mawile,입치트,大嘴娃,大嘴娃
304,Aron,ココドラ,Galekid,Stollunior,Aron,Aron,가보리,可可多拉,可可多拉
305,Lairon,コドラ,Galegon,Stollrak,Lairon,Lairon,갱도라,可多拉,可多拉
306,Aggron,バスゴドラ,Galeking,Stolloss,Aggron,Aggron,보스로라,波士可多拉,波士可多拉
307,Meditite,アサナン,Méditikka,Meditie,Meditite,Meditite,요가랑,瑪沙那,玛沙那
308,Medicham,チャーレム,Charmina,Meditalis,Medicham,Medicham,요가램,恰雷姆,恰雷姆
309,Electrike,ラクライ,Dynavolt,Frizelbliz,Electrike,Electrike,썬더라이,落雷獸,落雷兽
310,Manectric,ライボルト,Élecsprint,Voltenso,Manectric,Manectric,썬더볼트,雷電獸,雷电兽
311,Plusle,プラスル,Posipi,Plusle,Plusle,Plusle,플러시,正電拍拍,正电拍拍
312,Minum,マイナン,Négapi,Minun,Minum,Minum,마이농,負電拍拍,负电拍拍
313,Volbeat,バルビート,Muciole,Volbeat,Volbeat,Volbeat,볼비트,電螢蟲,电萤虫
314,Illumise,イルミーゼ,Lumivole,Illumise,Illumise,Illumise,네오비트,甜甜螢,甜甜萤
315,Roselia,ロゼリア,Rosélia,Roselia,Roselia,Roselia,로젤리아,毒薔薇,毒蔷薇
316,Gulpin,ゴクリン,Gloupti,Schluppuck,Gulpin,Gulpin,꼴깍몬,溶食獸,溶食兽
317,Swalot,マルノーム,Avaltout,Schluckwech,Swalot,Swalot,꿀꺽몬,吞食獸,吞食兽
318,Carvanha,キバニア,Carvanha,kanivanha,Carvanha,Carvanha,샤프니아,吞食獸,吞食兽
319,Sharpedo,サメハダー,Sharpedo,Tohaido,Sharpedo,Sharpedo,샤크니아,巨牙鯊,巨牙鲨
320,Wailmer,ホエルコ,Wailmer,Wailmer,Wailmer,Wailmer,고래왕자,吼吼鯨,吼吼鲸
321,Wailord,ホエルオー,Wailord,Wailord,Wailord,Wailord,고래왕자,吼鯨王,吼鲸王
322,Numel,ドンメル,Chamallot,Camaub,Numel,Numel,둔타,呆火駝,呆火驼
323,Camerupt,バクーダ,Camerupt,Camerupt,Camerupt,Camerupt,폭타,噴火駝,喷火驼
324,Torkoal,コータス,Chartor,Qurtel,Torkoal,Torkoal,코터스,煤炭龜,煤炭龟
325,Spoink,バネブー,Spoink,Spoink,Spoink,Spoink,피그점프,跳跳豬,跳跳猪
326,Grumpig,ブーピッグ,Groret,Groink,Grumpig,Grumpig,피그킹,噗噗豬,噗噗猪
327,Spinda,パッチール,Spinda,Pandir,Spinda,Spinda,얼루기,晃晃斑,晃晃斑
328,Trapinch,ナックラー,Kraknoix,Knacklion,Trapinch,Trapinch,톱치,大顎蟻,大颚蚁
329,Vibrava,ビブラーバ,Vibraninf,Vibrara,Vibrava,Vibrava,비브라바,超音波幼蟲,超音波幼虫
330,Flygon,フライゴン,Libégon,Libelldra,Flygon,Flygon,플라이곤,沙漠蜻蜓,沙漠蜻蜓
331,Cacnea,サボネア,Cacnéa,Tuska,Cacnea,Cacnea,선인왕,刺球仙人掌,刺球仙人掌
332,Cacturne,ノクタス,Cacturne,Noktuska,Cacturne,Cacturne,밤선인,夢歌仙人掌,梦歌仙人掌
333,Swablu,チルット,Tylton,Wablu,Swablu,Swablu,파비코,青綿鳥,青绵鸟
334,Altaria,チルタリス,Altaria,Altaria,Altaria,Altaria,파비코리,七夕青鳥,七夕青鸟
335,Zangoose,ザングース,Mangriff,Sengo,Zangoose,Zangoose,쟝고,貓鼬斬,猫鼬斩
336,Seviper,ハブネーク,Séviper,Vipitis,Seviper,Seviper,세비퍼,飯匙蛇,飯匙蛇
337,Lunatone,ルナトーン,Séléroc,Lunastein,Lunatone,Lunatone,루나톤,月石,月石
338,Solrock,ソルロック,Solaroc,Sonnfel,Solrock,Solrock,솔록,太陽岩,太阳岩
339,Barboach,ドジョッチ,Barloche,Schmerbe,Barboach,Barboach,미꾸리,泥泥鰍,泥泥鳅
340,Whiscash,ナマズン,Barbicha,Welsar,Whiscash,Whiscash,메깅,鯰魚王,鲶鱼王
341,Corphish,ヘイガニ,Écrapince,Krebscorps,Corphish,Corphish,가재군,龍蝦小兵,龙虾小兵
342,Crawdaunt,シザリガー,Colhomard,Krebutack,Crawdaunt,Crawdaunt,가재장군,鐵螯龍蝦,铁螯龙虾
343,Baltoy,ヤジロン,Balbuto,Puppance,Baltoy,Baltoy,오뚝군,天秤偶,天秤偶
344,Claydol,ネンドール,Kaorine,Lepumentas,Claydol,Claydol,점토도리,念力土偶,念力土偶
345,Lileep,リリーヤ,Lilia,Liliep,Lileep,Lileep,릴링,觸手百合,触手百合
346,Cradily,ユレイドル,Vacilys,Wielie,Cradily,Cradily,릴리요,搖籃百合,摇篮百合
347,Anorith,アノプス,Anorith,Anorith,Anorith,Anorith,아노딥스,太古羽蟲,太古羽虫
348,Armaldo,アーマルド,Armaldo,Armaldo,Armaldo,Armaldo,아말도,太古盔甲,太古盔甲
349,Feebas,ヒンバス,Barpau,Barschwa,Feebas,Feebas,빈티나,醜醜魚,丑丑鱼
350,Milotic,ミロカロス,Milobellus,Milotic,Milotic,Milotic,밀로틱,美納斯,美纳斯
351,Castform,ポワルン,Morphéo,Formeo,Castform,Castform,캐스퐁,飄浮泡泡,飘浮泡泡
352,Kecleon,カクレオン,Kecleon,Kecleon,Kecleon,Kecleon,켈리몬,變隱龍,变隐龙
353,Shuppet,カゲボオズ,Polichombr,Bannette,Shuppet,Shuppet,어둠대신,怨影娃娃,怨影娃娃
354,Banette,ジュペッタ,Branette,Zwirllicht,Banette,Banette,다크펫,詛咒娃娃,诅咒娃娃
355,Duskull,ヨマワル,Skelénox,Zwirrklop,Duskull,Duskull,해골몽,夜巡靈,夜巡灵
356,Dusclops,サマヨール,Téraclope,Zwirrfinst,Dusclops,Dusclops,미라몽,彷徨夜靈,彷徨夜灵
357,Tropius,トロピウス,Tropius,Tropius,Tropius,Tropius,트로피우스,熱帶龍,热带龙
358,Chimecho,チリーン,Éoko,Palimpalim,Chimecho,Chimecho,치렁,風鈴鈴,风铃铃
359,Absol,アブソル,Absol,Absol,Absol,Absol,앱솔,阿勃梭魯,阿勃梭鲁
360,Wynaut,ソーナノ,Okéoké,Isso,Wynaut,Wynaut,마자,小果然,小果然
361,Snorunt,ユキワラシ,Stalgamin,Schneppke,Snorunt,Snorunt,눈꼬마,雪童子,雪童子
362,Glalie,オニゴーリ,Oniglali,Fimontor,Glalie,Glalie,얼음귀신,冰鬼護,冰鬼护
363,Spheal,タマザラシ,Obalie,Seemops,Spheal,Spheal,대굴레오,海豹球,海豹球
364,Sealeo,トドグラ,Phogleur,Seejong,Sealeo,Sealeo,씨레오,海魔獅,海魔狮
365,Walrein,トドゼルガ,Kaimorse,Walraisa,Walrein,Walrein,씨카이저,帝牙海獅,帝牙海狮
366,Clamperl,パールル,Coquiperl,Perlu,Clamperl,Clamperl,진주몽,珍珠貝,珍珠貝
367,Huntail,ハンテール,Serpang,Aalabyss,Huntail,Huntail,헌테일,獵斑魚,猎斑鱼
368,Gorebyss,サクラビス,Rosabyss,Saganbyss,Gorebyss,Gorebyss,분홍장이,櫻花魚,樱花鱼
369,Relicanth,ジーランス,Relicanth,Relicanth,Relicanth,Relicanth,시라칸,古空棘魚,古空棘鱼
370,Luvdisc,ラブカス,Lovdisc,Liebiskuss,Luvdisc,Luvdisc,사랑동이,愛心魚,爱心鱼
371,Bagon,タツベイ,Draby,Kindwurm,Bagon,Bagon,아공이,寶貝龍,宝贝龙
372,Shelgon,コモルー,Drackhaus,Draschel,Shelgon,Shelgon,쉘곤,甲殼龍,甲壳龙
373,Salamence,ボーマンダ,Drattak,Brutalanda,Salamence,Salamence,보만다,暴飛龍,暴飞龙
374,Beldum,ダンバル,Terhal,Tanhel,Beldum,Beldum,메탕,鐵啞鈴,铁哑铃
375,Metang,メタング,Métang,Metang,Metang,Metang,메탕구,金屬怪,金属怪
376,Metagross,メタグロス,Métalosse,Metagross,Metagross,Metagross,메타그로스,巨金怪,巨金怪
377,Regirock,レジロック,Regirock,Regirock,Regirock,Regirock,레지락,雷吉洛克,雷吉洛克
378,Regice,レジアイス,Regice,Regice,Regice,Regice,레지아이스,雷吉艾斯,雷吉艾斯
379,Registeel,レジスチル,Registeel,Registeel,Registeel,Registeel,레지스틸,雷吉斯奇魯,雷吉斯奇鲁
380,Latias,ラティアス,Latias,Latias,Latias,Latias,라티아스,拉帝亞斯,拉帝亚斯
381,Latios,ラティオス,Latios,Latios,Latios,Latios,라티오스,拉帝歐斯,拉帝欧斯
382,Kyogre,カイオーガ,Kyogre,Kyogre,Kyogre,Kyogre,가이오가,蓋歐卡,盖欧卡
383,Groudon,グラードン,Groudon,Groudon,Groudon,Groudon,그란돈,固拉多,固拉多
384,Rayquaza,レックウザ,Rayquaza,Rayquaza,Rayquaza,Rayquaza,레쿠쟈,烈空坐,烈空坐
385,Jirachi,ジラーチ,Jirachi,Jirachi,Jirachi,Jirachi,지라치,基拉祈,基拉祈
386,Deoxys,ヂオキシス,Deoxys,Deoxys,Deoxys,Deoxys,테오키스,代歐奇希斯,代欧奇希斯
387,Turtwig,ナエトル,Tortipouss,Chelast,Turtwig,Turtwig,모부기,草苗龜,草苗龟
388,Grotle,ハヤシガメ,Boskara,Chelcarain,Grotle,Grotle,수풀부기,樹林龜,树林龟
389,Torterra,ドダイトス,Torterra,Chelterrar,Torterra,Torterra,토대부기,土台龜,土台龟
390,Chimchar,ヒコザル,Ouisticram,Panflam,Chimchar,Chimchar,불꽃숭이,小火焰猴,小火焰猴
391,Monferno,モウカザル,Chimpenfeu,Panpyro,Monferno,Monferno,파이숭이,猛火猴,猛火猴
392,Infernape,ゴウカザル,Simiabraz,Panferno,Infernape,Infernape,초염몽,烈焰猴,烈焰猴
393,Piplup,ポッチャマ,Tiplouf,Plinfa,Piplup,Piplup,팽도리,波加曼,波加曼
394,Prinplup,ポッタイシ,Prinplouf,Pliprin,Prinplup,Prinplup,팽태자,波皇子,波皇子
395,Empoleon,エンペルト,Pingoléon,Impoleon,Empoleon,Empoleon,엠페르트,帝王拿波,帝王拿波
396,Starly,ムックル,Étourmi,Staralili,Starly,Starly,찌르꼬,姆克兒,姆克儿
397,Staravia,ムクバード,Étourvol,Staravia,Staravia,Staravia,찌르버드,姆克鳥,姆克鸟
398,Staraptor,ムクホーク,Étouraptor,Staraptor,Staraptor,Staraptor,찌르호크,姆克鷹,姆克鹰
399,Bidoof,ビッパ,Keunotor,Bidiza,Bidoof,Bidoof,비버니,大牙狸,大牙狸
400,Bibarel,ビーダル,Castorno,Bidifas,Bibarel,Bibarel,비버통,大尾狸,大尾狸
401,Kricketot,コロボーシ,Crikzik,Zirpurze,Kricketot,Kricketot,귀뚤뚜기,圓法師,圆法师
402,Kricketune,コロトック,Mélokrik,Zirpeise,Kricketune,Kricketune,귀뚤톡크,音箱蟀,音箱蟀
403,Shinx,コリンク,Lixy,Sheinux,Shinx,Shinx,꼬링크,小貓怪,小猫怪
404,Luxio,ルクシオ,Luxio,Luxio,Luxio,Luxio,럭시오,勒克貓,勒克猫
405,Luxray,レントラー,Luxray,Luxtra,Luxray,Luxray,렌트라,倫琴貓,伦琴猫
406,Budew,スボミー,Rozbouton,Knospi,Budew,Budew,꼬몽울,含羞苞,含羞苞
407,Roserade,ロズレイド,Roserade,Roserade,Roserade,Roserade,로즈레이드,羅絲雷朵,罗丝雷朵
408,Cranidos,ズガイドス,Kranidos,Koknodon,Cranidos,Cranidos,두개도스,頭蓋龍,头盖龙
409,Rampardos,ラムパルド,Charkos,Rameidon,Rampardos,Rampardos,램펄드,戰槌龍,战槌龙
410,Shieldon,タテトプス,Dinoclier,Schilterus,Shieldon,Shieldon,방패톱스,盾甲龍,盾甲龙
411,Bastiodon,トリデプス,Bastiodon,Bollterus,Bastiodon,Bastiodon,바리톱스,護城龍,护城龙
412,Burmy,ミノムッチ,Cheniti,Burmy,Burmy,Burmy,도롱충이,結草兒,结草儿
413,Wormadam,ミノマダム,Cheniselle,Burmadame,Wormadam,Wormadam,도롱마담,結草貴婦,结草贵妇
414,Mothim,ガーメイル,Papilord,Moterpel,Mothim,Mothim,나메일,紳士蛾,绅士蛾
415,Combee,ミツハニー,Apitrini,Wadribie,Combee,Combee,세꿀버리,三蜜蜂,三蜜蜂
416,Vespiquen,ビークイン,Apireine,Honweisel,Vespiquen,Vespiquen,비퀸,蜂女王,蜂女王
417,Pachirisu,パチリス,Pachirisu,Pachirisu,Pachirisu,Pachirisu,파치리스,帕奇利茲,帕奇利茲
418,Buizel,ブイゼル,Mustébouée,Bamelin,Buizel,Buizel,브이젤,泳圈鼬,泳圈鼬
419,Floatzel,フローゼル,Mustéflott,Bojelin,Floatzel,Floatzel,플로젤,浮潛鼬,浮潜鼬
420,Cherubi,チェリンボ,Ceribou,Kikugi,Cherubi,Cherubi,체리버,櫻花寶,樱花宝
421,Cherrim,チェリム,Ceriflor,Kinoso,Cherrim,Cherrim,체리꼬,櫻花兒,樱花儿
422,Shellos,カラナクシ,Sancoki,Schalellos,Shellos,Shellos,깝질무,無殼海兔,无壳海兔
423,Gastrodon,トリトソン,Tritosor,Gastrodon,Gastrodon,Gastrodon,트리토돈,海兔獸,海兔兽
424,Ambipom,エテボース,Capidextre,Ambidiffel,Ambipom,Ambipom,겟핸보숭,雙尾怪手,双尾怪手
425,Drifloon,フワンテ,Baudrive,Driftlon,Drifloon,Drifloon,흔들풍손,飄飄球,飘飘球
426,Drifblim,フワライド,Grodrive,Drifzepeli,Drifblim,Drifblim,둥실라이드,隨風球,随风球
427,Buneary,ミミロル,Laporeille,Haspiror,Buneary,Buneary,이어롤,捲捲耳,卷卷耳
428,Lopunny,ミミロップ,Lockpin,Schlapor,Lopunny,Lopunny,이어롭,長耳兔,长耳兔
